"annee","age","nee.france","cp.naissance","sexe","nb.freres.soeurs","taille","pointure","couleur.yeux","couleur.yeux.mere","couleur.derniere.voiture","last.departement","visite","football","rugby","bac","mention","csp","moy.math","bac.math","bac.eps"
2009,18,"Oui",66000,"Masculin",1,180,44,"Marron","Marron","grise anthracite",66,"Everest","Un peu","Un peu","S","P","Artisan, commerçant, profession libérale",5,8,14
2009,18,"Oui",31000,"Masculin",2,175,43,"Marron","Marron","grise",31,"Moscou","Beaucoup","Beaucoup","ES","P","Cadre, profession intellectuelle supérieure",14.1,18,13
2009,19,"Oui",26000,"Féminin",1,171,39,"Marron","Marron","bleue",26,"États-Unis","Un peu","Pas du tout","S","P","Employé",6,6,11
2009,19,"Oui",78000,"Masculin",2,182,45,"Marron","Marron","grise",66,"Réunion","Un peu","Beaucoup","ES","P","Cadre, profession intellectuelle supérieure",10,8,16
2009,19,"Oui",66330,"Masculin",2,185,46,"Marron","Marron","grise lunaire",66,"Dubaï","Un peu","Beaucoup","S","P","Employé",11,11,12
2009,24,"Oui",31000,"Masculin",1,182,46,"Bleu","Marron","grise",31,"Canada","Beaucoup","Beaucoup","S","P","Retraité",10,11,16
2009,20,"Oui",21000,"Féminin",4,150,36,"Vert","Vert","blanche",34,"Japon","Un peu","Pas du tout","STG","P","Employé",12,16,10
2009,20,"Non",,"Masculin",2,185,44,"Bleu","Vert","grise",,"Barcelone","Beaucoup","Un peu","S","P","Artisan, commerçant, profession libérale",10,9,17
2009,21,"Oui",11000,"Masculin",2,183,43,"Marron","Marron","verte",74,"Hollande","Un peu","Un peu","ES","P","Retraité",13,11,14
2009,18,"Oui",11000,"Masculin",3,173,43,"Marron","Marron","bleue",34,"Guyane","Un peu","Beaucoup","ES","P","Ouvrier",13,13,8
2009,18,"Oui",11000,"Féminin",3,165,38,"Marron","Marron","grise",31,"États-Unis","Pas du tout","Pas du tout","ES","AB","Ouvrier",17,17,11
2009,20,"Oui",84000,"Masculin",0,172,41,"Vert","Vert","bleue",34,"Central Park","Beaucoup","Un peu","STG","P","Artisan, commerçant, profession libérale",9,9,16
2009,19,"Oui",92000,"Féminin",1,168,39,"Marron","Vert","grise",34,"Irlande","Pas du tout","Un peu","S","P","Cadre, profession intellectuelle supérieure",11,7,13
2009,18,"Oui",31000,"Féminin",2,169,39,"Marron","Marron","grise",31,"New York","Un peu","Beaucoup","ES","P","Cadre, profession intellectuelle supérieure",14,16,13
2009,18,"Oui",77000,"Féminin",1,158,37,"Bleu","Marron","noire",9,"Paris","Un peu","Un peu","S","AB","Employé",12,11,18
2009,18,"Oui",11000,"Masculin",1,198,48,"Vert","Marron","grise",53,"Stade Gerland","Beaucoup","Beaucoup","S","AB","Ouvrier",12,11,12
2009,19,"Oui",11400,"Masculin",1,178,42,"Marron","Marron","violette",,,"Un peu","Pas du tout","ES","P","Profession intermédiaire",14,17,16
2010,17,"Oui",11000,"Masculin",0,180,44,"Marron","Marron","Noir",66,"Égypte","Pas du tout","Pas du tout","ES","B","Cadre, profession intellectuelle supérieure",10,16,10
2010,19,"Oui",65000,"Masculin",0,187,46,"Bleu","Marron","Bleu foncé",66,"Paris","Un peu","Beaucoup","S","P","Autres",9.5,8,17
2010,18,"Oui",31000,"Masculin",1,184,46,"Vert","Marron","Noir",31,"Irlande","Un peu","Beaucoup","S","P","Employé",10,14,16
2010,17,"Oui",11000,"Masculin",2,170,42,"Marron","Marron","Gris",34,,"Pas du tout","Pas du tout","S","P","Artisan, commerçant, profession libérale",13,11,10
2010,19,"Oui",81100,"Masculin",4,183,45,"Bleu","Bleu","Gris",81,"La maison blanche","Un peu","Beaucoup","ES","AB","Cadre, profession intellectuelle supérieure",12,15,13
2010,19,"Oui",11000,"Féminin",2,,36,"Marron","Bleu","Blanc",,"Corse","Un peu","Un peu","STG","AB","Employé",16,15,12
2010,19,"Oui",11000,"Masculin",0,176,42,"Vert","Marron","Bleu foncé",64,"Australie","Pas du tout","Pas du tout","ES","P","Cadre, profession intellectuelle supérieure",14.5,12,14
2010,20,"Oui",31000,"Masculin",1,167,41,"Marron","Marron","Gris",30,"Tokyo","Un peu","Un peu","STI","P","Retraité",15,15,14
2010,18,"Oui",95000,"Masculin",1,171,43,"Marron","Marron","Gris",34,"Plaine des menhirs en Bretagne","Un peu","Pas du tout","S","P","Cadre, profession intellectuelle supérieure",6.5,3,14
2010,18,"Oui",34000,"Masculin",1,188,47,"Marron","Marron","Gris",34,"Pérou","Beaucoup","Beaucoup","S","B","Artisan, commerçant, profession libérale",12,13,17
2010,20,"Oui","09100","Féminin",1,160,38,"Vert","Marron","Gris","09","Amérique latine","Pas du tout","Un peu","ES","P","Employé",16,12,12
2010,20,"Oui",11000,"Masculin",1,167,42,"Marron","Marron",,31,"Marseille","Un peu","Un peu","S","AB","Cadre, profession intellectuelle supérieure",12,11,10
2010,19,"Oui",69000,"Masculin",1,178,44,"Vert","Marron","Gris anthracite",66,"L'Everest","Un peu","Un peu","S","B","Employé",11,16,14
