"Zone","n","eps_moy_SP95","eps_med_SP95","eps_sd_SP95","eps_moy_Gaz","IC_inf","IC_sup","Interpretation"
"Urbaine",84,1.10639845939539,0.384461252290943,5.93712142035194,1.15659355849533,-0.163275928820244,2.37607284761103,"tres elastique (sensibilite forte)"
"Périurbaine",84,1.0610801172482,0.307838549283416,5.83420302964628,1.11001953789298,-0.186584809562889,2.30874504405929,"tres elastique (sensibilite forte)"
"Rurale",84,1.01522267430297,0.134770114942529,5.73942482323343,1.06271424603033,-0.212173598269228,2.24261894687518,"tres elastique (sensibilite forte)"
