"Zone","Faix_Prix","eps_croisee"
"Urbaine","F1: <1.50EUR",8.39778582769574
"Urbaine","F2: 1.50-1.70EUR",4.14013690719067
"Urbaine","F3: 1.70-1.90EUR",-0.726167711936475
"Urbaine","F4: 1.90-2.10EUR",-1.90464114819054
"Urbaine","F5: >=2.10EUR",0.655270655270655
"Périurbaine","F1: <1.50EUR",8.3596499809765
"Périurbaine","F2: 1.50-1.70EUR",4.1414611578766
"Périurbaine","F3: 1.70-1.90EUR",-0.722753413546712
"Périurbaine","F4: 1.90-2.10EUR",-1.90830133314583
"Périurbaine","F5: >=2.10EUR",0.660018993352327
"Rurale","F1: <1.50EUR",8.34941575340598
"Rurale","F2: 1.50-1.70EUR",4.14125004754089
"Rurale","F3: 1.70-1.90EUR",-0.75396276101095
"Rurale","F4: 1.90-2.10EUR",-1.9358332054895
"Rurale","F5: >=2.10EUR",0.650522317188984
