"Zone","estimate","std.error","statistic","p.value","conf.low","conf.high","r.squared","adj.r.squared"
"Urbaine",1.3866549325311,0.222537072701309,6.23111877809357,1.71057799113301e-08,0.944191612655163,1.82911825240704,0.31355755215966,0.305481758655656
"Périurbaine",1.22781636941453,0.220964451193295,5.55662398536889,3.09665967982263e-07,0.788479842413589,1.66715289641548,0.266457691257509,0.257827781742892
"Rurale",1.06628617788537,0.21985298451618,4.84999637476788,5.52323379770556e-06,0.629159544408765,1.50341281136198,0.216752032594993,0.207537350625523
